Sample_ID,Genotype,Protein_As_is,Fat_As_is,Fiber_As_is,Ash_As_is,Starch_As_is
YC16:1004,A322,12.99,4.34,1.55,1.42,72.47
YC16:1005,NK778,11.41,3.77,1.73,1.42,72.59
YC16:1010,B87,12.54,4.81,1.56,1.46,72.41
YC16:1015,A305,12.54,4.98,1.77,1.51,70.54
YC16:1021,CR1HT,14.45,3.66,1.59,1.54,73.12
YC16:1022,ND265,14.93,3.67,2.12,1.65,70.94
YC16:1024,C123,12.68,4.29,1.92,1.51,71.9
YC16:1051,W605S,12.32,5.11,1.86,1.49,70.74
YC16:1052,W602S,11.05,4.32,1.83,1.42,72.25
YC16:1056,CH753-4,14.4,3.96,1.78,1.54,72.56
YC16:1058,PHG86,9.4,3.7,2.14,1.35,70.96
YC16:1059,A208,17.1,5.07,2.04,1.79,69.29
YC16:1061,N192,14.13,4.05,1.61,1.54,71.1
YC16:1066,PHG71,14.11,4.51,1.83,1.54,71.49
YC16:1068,1538,14,4.19,1.56,1.55,71.43
YC16:1072,DKPB80,10.45,4.19,1.65,1.35,71.72
YC16:1074,PHG80,11.1,3.56,1.61,1.39,71.51
YC16:1080,LH295,10.38,4.02,1.79,1.36,71.95
YC16:1095,MS200,15.29,4.92,1.89,1.63,71.25
YC16:1099,A674,11.93,3.15,1.65,1.4,72.92
YC16:1101,B85,14.4,5.33,1.88,1.57,71.25
YC16:1102,MS224,15.79,5.88,1.83,1.64,70.18
YC16:1114,A374,14.9,5.17,1.64,1.62,71.05
YC16:1128,A334,15.61,5.65,2.13,1.67,71.18
YC16:1151,SD40,9.03,3.5,1.9,1.3,70.68
YC16:1173,CI 40H,11.15,3.94,1.56,1.4,71.79
YC16:1188,PHJ90,11.36,3.94,1.96,1.47,70.62
YC16:1219,A73,11.14,4.23,1.53,1.37,73.14
YC16:1220,CH9,14.83,4.69,1.79,1.6,71.89
YC16:1222,A548,14.33,4.64,1.55,1.57,72.08
YC16:1224,Va99,10.94,4.82,1.4,1.38,72.78
YC16:1225,LP5,10.39,3.75,1.52,1.31,72.6
YC16:1229,LH119,13.15,4.88,1.61,1.55,72.13
YC16:1231,SD101,13.47,5.36,2.09,1.61,70.65
YC16:1232,R113,16.76,4.43,2.53,1.81,69.59
YC16:1235,R181B,12.89,4.3,1.62,1.5,71.76
YC16:1236,Oh43,13.25,4.59,1.75,1.51,71.87
YC16:1240,L 135,13.38,3.58,2.05,1.57,71.22
YC16:1243,2FADB,11.32,4.35,1.69,1.42,72.28
YC16:1246,PHW80,11.3,4.17,1.75,1.44,72.21
YC16:1252,DKFAPW,12.98,3.93,1.8,1.52,71.77
YC16:1264,Va26,12.8,4.62,1.88,1.53,70.9
YC16:1266,N217,13.9,4.25,2.01,1.56,71.47
YC16:1267,N211,16.77,3.13,1.98,1.63,72.3
YC16:1275,DK78371A,11.56,4.84,1.68,1.44,72.26
YC16:1279,FR19,14.9,4.6,1.86,1.59,72.15
YC16:1286,W32,15.17,4.67,2.14,1.69,71.27
YC16:1307,A,14.9,4.34,1.59,1.58,72.04
YC16:1309,LH59,10.04,4.23,1.43,1.34,72.77
YC16:1313,B120,11.94,4.49,1.84,1.48,71.81
YC16:1318,A321,17.13,4.87,1.59,1.68,72.36
YC16:1332,W37A,15.36,4.34,1.51,1.57,72.32
YC16:1336,LH192,13.14,4.78,1.74,1.49,71.42
YC16:1340,W810G,15.7,4.58,1.85,1.71,69.86
YC16:1348,KUNG-70,12.23,4.66,1.61,1.48,71.98
YC16:1358,Pa778,15.22,4.89,1.91,1.64,71.36
YC16:1377,B37,12.65,4.67,1.89,1.54,71.11
YC16:1385,B109,10.11,4.52,1.64,1.4,72.61
YC16:1406,MS221,14.21,3.77,1.9,1.56,72.07
YC16:1408,H84,12.09,4.59,1.99,1.47,71.6
YC16:1440,CG102,12.05,5.32,1.8,1.49,71.04
YC16:1469,NKS8326,11.5,4.57,1.86,1.44,72.13
YC16:1480,LH197,9.04,4.12,1.53,1.26,73.07
YC16:1491,Pa762,11.66,4.15,1.86,1.41,70.37
YC16:1496,B105,12.42,4.66,1.62,1.51,69.82
YC16:1501,W607S,11.07,3.28,1.63,1.37,71.28
YC16:1519,Os426,14.68,3.83,1.73,1.56,71.87
YC16:1520,PHP85,9.72,4.01,1.57,1.28,71.14
YC16:2015,Oh43,12.36,4.54,1.67,1.49,71.04
YC16:2019,CH157,12.98,4.63,1.53,1.44,72.38
YC16:2023,SD40,9.65,4.5,1.64,1.37,71.25
YC16:2029,A374,14.25,4.79,1.84,1.64,70.73
YC16:2037,A672,10.51,3.94,1.67,1.39,71.85
YC16:2045,A73,10.76,4.84,1.77,1.36,71.13
YC16:2047,A208,15.12,5.96,2.05,1.76,69.02
YC16:2056,1538,13.91,4.42,1.84,1.6,69.52
YC16:2057,MS224,16.03,6.09,1.99,1.75,68.78
YC16:2061,W605S,12.28,5.43,1.81,1.51,70.54
YC16:2062,PHJ90,11.6,4.18,1.93,1.47,71.07
YC16:2074,NK778,10.05,4.01,1.47,1.31,72.15
YC16:2076,LH132,11.36,5.04,1.45,1.43,72.41
YC16:2083,6F629,12.49,4.74,1.57,1.49,71.2
YC16:2092,2FADB,10.05,4.33,1.41,1.36,72.39
YC16:2094,A334,14.65,5.53,1.83,1.67,70.23
YC16:2100,PHG50,12.49,4.54,1.65,1.48,72.34
YC16:2108,A322,11.63,4.6,1.81,1.46,71.8
YC16:2115,CR1HT,13.45,4.36,1.56,1.54,71.89
YC16:2118,LH119,12.34,4.39,1.88,1.49,70.02
YC16:2126,B85,13.4,4.41,1.99,1.57,70.74
YC16:2133,PHG80,9.86,3.7,1.61,1.32,70.7
YC16:2140,LP5,8.27,4.02,1.36,1.25,71.37
YC16:2155,C123,12.4,3.52,1.92,1.5,70.9
YC16:2156,B87,9.64,4.67,1.48,1.34,71.91
YC16:2157,N192,13.37,4.23,1.26,1.47,72.73
YC16:2159,A632,12.79,4.38,1.55,1.49,70.99
YC16:2163,N193,9.44,4.5,1.46,1.37,72.23
YC16:2164,DKFAPW,12.07,4.25,1.57,1.48,73.08
YC16:2166,W552,13.29,4.99,1.83,1.62,71.4
YC16:2167,W602S,11.04,5.21,1.47,1.44,72.11
YC16:2171,PHG86,10.06,4.3,1.75,1.41,72.08
YC16:2173,LH198,12,4.46,1.36,1.45,72.98
YC16:2176,LH149,8,3.41,1.44,1.25,71.93
YC16:2178,ND265,13.06,3.73,1.37,1.5,73.3
YC16:2190,R181B,10,3.91,1.64,1.41,70.23
YC16:2191,A548,12.97,4.39,1.53,1.54,71.95
YC16:2194,L 135,13.03,4.21,1.82,1.54,71.01
YC16:2202,PHG71,13.46,4.39,1.84,1.54,71.67
YC16:2204,A641,13.66,3.53,1.52,1.52,71.56
YC16:2222,LH295,9.69,3.71,1.57,1.33,72.75
YC16:2223,MS200,15.93,4.6,2.07,1.73,70.5
YC16:2227,R113,15.57,3.86,1.67,1.65,72.02
YC16:2235,CH753-4,14.6,3.98,1.76,1.61,71.67
YC16:2237,DKPB80,8.95,4.54,1.44,1.31,72.22
YC16:2239,SD101,11.62,5.11,2.12,1.54,69.2
YC16:2246,PHG72,10.96,3.92,1.61,1.43,70.76
YC16:2248,A305,12.95,4.29,1.77,1.52,70.28
YC16:2265,PHW65,11.52,3.45,1.63,1.5,72.1
YC16:2268,N211,15.23,4.02,1.56,1.6,74.15
YC16:2270,H84,11.15,4.75,1.88,1.48,71.7
YC16:2271,LH192,11.22,4.16,1.86,1.41,70.79
YC16:2273,MS221,13.16,3.72,1.96,1.51,70.68
YC16:2285,B120,10.8,4.49,1.64,1.4,71.35
YC16:2308,Pa762,11.69,3.89,1.64,1.38,72.73
YC16:2309,Pa778,14.91,5.01,1.77,1.66,71.14
YC16:2314,DK78371A,9.76,4.47,1.36,1.36,72.4
YC16:2327,N217,12.43,4.58,1.6,1.49,72.71
YC16:2336,Pa875,12.05,4.94,1.61,1.48,71.6
YC16:2340,W607S,11.05,3.08,1.55,1.35,71.48
YC16:2345,H95,14.41,4.62,1.77,1.57,71.41
YC16:2362,NKS8326,11.99,3.85,1.94,1.45,72.96
YC16:2399,CO258,11.28,5.26,1.32,1.49,72.06
YC16:2405,FR19,13.6,3.8,1.8,1.51,72.51
YC16:2412,A,15.01,5.1,1.62,1.61,70.78
YC16:2439,W810G,15.05,4.03,1.98,1.65,71.88
YC16:2449,Os426,17.14,3.57,1.72,1.64,71.53
YC16:2453,A321,16.34,4.66,1.73,1.68,71.64
YC16:2455,LH197,9.44,3.99,1.81,1.26,72.46
YC16:2459,KUNG-70,11.79,4.96,1.69,1.46,72.81
YC16:2462,87916W,9.95,4.13,1.77,1.3,72.65
YC16:2463,CG102,11.9,5.15,1.96,1.47,71.01
YC16:2467,PHP85,10.05,3.69,1.87,1.32,70.38
YC16:2474,LH59,11.62,4.39,1.54,1.39,72.58
YC16:2477,B37,12.63,4.22,1.91,1.56,71.61
YC16:2484,W37A,15.8,4.24,1.8,1.58,72.15
YC16:2501,Va26,12.51,4.16,1.56,1.48,71.78
YC16:2504,B108,13.52,4.02,1.52,1.46,73.22
YC16:2512,LH128,9.09,4.36,1.51,1.34,72.98
YC16:3014,W605S,11.09,4.74,1.6,1.41,69.93
YC16:3015,W9,12.32,2.92,1.67,1.51,70.2
YC16:3016,R113,14.94,4.41,1.95,1.69,69
YC16:3036,SD101,10.14,4.59,1.81,1.44,71.11
YC16:3037,LH119,9.13,4.14,1.41,1.31,71.27
YC16:3042,A674,10.04,4.28,1.46,1.41,71.7
YC16:3048,ND265,11.61,3.66,1.38,1.46,71.55
YC16:3054,A374,11.71,4.26,1.34,1.42,70.93
YC16:3056,A641,12.73,4.52,1.4,1.52,70.6
YC16:3059,MS200,12.18,4.48,1.54,1.52,69.12
YC16:3061,C123,11.03,4.19,1.59,1.39,71.25
YC16:3062,DKPB80,7.3,3.37,1.49,1.21,71.08
YC16:3067,PHW80,9.07,4.49,1.51,1.32,72.22
YC16:3070,CI 40H,9.79,3.16,1.67,1.37,70.86
YC16:3071,A305,11.06,4.61,1.58,1.42,70.92
YC16:3074,LH149,6.26,2.92,1.25,1.11,71.36
YC16:3083,A572,12.28,4.57,2.14,1.58,68.68
YC16:3084,B85,11.42,4.4,1.55,1.46,69.54
YC16:3085,LH132,9.15,4.76,1.35,1.31,70.5
YC16:3090,SD40,9.74,4.45,1.72,1.43,70.8
YC16:3097,CH157,9.7,3.17,1.31,1.35,73.01
YC16:3101,2FADB,9.76,4.24,1.34,1.31,72.6
YC16:3109,N192,12.42,4.57,1.39,1.44,71.72
YC16:3116,OH33,12.64,4.22,1.49,1.49,70.93
YC16:3125,NK778,10.05,4.24,1.58,1.41,72.15
YC16:3133,Pa392,12.8,4.93,1.56,1.52,70.29
YC16:3143,A208,12.32,5.62,2.02,1.6,66.93
YC16:3144,LP5,7.25,4.25,1.51,1.23,69.92
YC16:3164,6F629,9.7,4.42,1.44,1.35,70.17
YC16:3165,B87,8.25,4.25,1.28,1.25,69.81
YC16:3166,Va99,10.14,4.81,1.35,1.35,69.93
YC16:3175,PHG80,8.88,3.66,1.26,1.28,71.16
YC16:3188,LH295,8.44,3.94,1.25,1.26,70.27
YC16:3190,PHJ90,9.44,3.74,1.78,1.4,69.72
YC16:3201,PHG50,10.27,4.7,1.61,1.42,69.82
YC16:3206,A663,11.65,4.1,1.54,1.46,70.6
YC16:3207,W604S,11.89,4.65,1.61,1.46,72.1
YC16:3221,PHG72,10.46,3.92,1.72,1.39,71.41
YC16:3223,CH9,10.45,4.36,1.72,1.44,69.44
YC16:3229,L 135,12.82,3.95,1.8,1.52,71.05
YC16:3232,R181B,8.64,3.53,1.58,1.34,69.41
YC16:3233,A73,10.16,4.26,1.47,1.43,69.16
YC16:3234,PHG71,11,4.27,1.92,1.47,70.81
YC16:3241,Oh43,10.5,3.71,1.35,1.39,69.56
YC16:3247,A322,10.57,4.32,1.43,1.38,70.34
YC16:3255,N193,8.9,3.74,1.36,1.32,71.9
YC16:3257,A632,10.48,3.55,1.55,1.4,70.43
YC16:3258,LH198,10.35,3.84,1.36,1.36,71.78
YC16:3264,N211,11.89,3.87,1.67,1.43,72.16
YC16:3272,Pa762,12.9,4.09,1.7,1.48,70.99
YC16:3284,B108,11.37,3.95,1.21,1.4,71.64
YC16:3289,KUNG-70,8.66,4.26,1.63,1.4,70.54
YC16:3292,B109,7.92,4.34,1.41,1.25,70.83
YC16:3294,B37,13.68,4.54,1.94,1.6,69.85
YC16:3297,PHP85,9.17,3.53,1.66,1.3,71.36
YC16:3320,LH197,6.44,3.15,1.54,1.19,70.01
YC16:3334,Os426,11.92,3.02,1.44,1.47,72.2
YC16:3335,FR19,9.91,3.97,1.7,1.41,70.08
YC16:3341,Va26,9.94,4.21,1.34,1.37,70.9
YC16:3353,DK78371A,9.93,4.27,1.31,1.37,71.92
YC16:3368,LH128,8.04,3.23,1.49,1.28,71.87
YC16:3391,W32,12.68,3.64,1.7,1.54,69.48
YC16:3402,Pa875,11.39,5.24,1.63,1.44,69.96
YC16:3406,PHW65,9.52,3.99,1.66,1.4,69.13
YC16:3417,CO258,10.65,5.09,1.61,1.44,69.74
YC16:3421,LH59,9.26,4.24,1.28,1.29,70.58
YC16:3422,LH192,9.54,4.46,1.38,1.35,70.04
YC16:3458,W37A,13.6,4.23,1.43,1.57,71.48
YC16:3461,N217,12.13,4.45,1.47,1.44,70.71
YC16:3462,B120,10.22,4.62,1.74,1.41,69.63
YC16:3463,H84,13.2,5.01,1.88,1.56,69.62
YC16:3468,A,12.71,3.67,1.85,1.58,69.01
YC16:3471,W810G,12.13,4.6,1.99,1.6,68.72
YC16:3482,CG102,10.8,4.79,1.78,1.42,70.68
YC16:3485,R78,12.25,5.98,1.8,1.57,69.14
YC16:3489,H95,11.6,4.11,1.54,1.43,70.91
YC16:3492,W809G,9.66,3.93,1.28,1.32,72.07
YC16:3493,NKS8326,11.11,4.37,1.49,1.39,71.1
YC16:3505,MS221,12.12,3.81,1.56,1.49,69.39
YC16:3508,87916W,8.88,4.66,1.34,1.29,71.74
YC16:4001,OH33,13.26,3.92,1.65,1.59,70.34
YC16:4007,A208,13.1,5.34,1.84,1.63,68.32
YC16:4013,W605S,11.08,5.26,1.49,1.4,70.44
YC16:4019,PHG72,10.07,4.63,1.63,1.39,71.94
YC16:4026,A322,10.99,3.78,1.44,1.42,70.67
YC16:4029,W552,11.57,4.06,1.57,1.47,70.92
YC16:4036,SD101,10.5,4.9,1.84,1.45,70.36
YC16:4038,R181B,9.42,4.46,1.49,1.33,69.51
YC16:4039,W604S,12.29,4.76,1.64,1.53,71.05
YC16:4040,1538,10.07,4.52,1.64,1.42,68.51
YC16:4041,LH198,9.72,4.55,1.56,1.35,69.9
YC16:4042,B87,9.19,4.1,1.4,1.29,70.03
YC16:4049,A674,9.6,3.93,1.58,1.38,71.5
YC16:4051,LH149,5.75,3.39,1.35,1.12,68.99
YC16:4052,A672,9.92,3.44,1.75,1.37,69.8
YC16:4062,A548,13.79,3.99,1.47,1.55,69.14
YC16:4064,PHG50,10,4.22,1.41,1.37,71.19
YC16:4069,PHJ90,9.67,4.24,1.79,1.44,69.54
YC16:4070,L 135,11.1,4.55,1.74,1.49,70.16
YC16:4084,N193,7.91,3.96,1.42,1.27,69.33
YC16:4090,PHG86,7.99,3.86,1.53,1.28,69.83
YC16:4096,B85,11.74,4.83,1.71,1.52,69.28
YC16:4112,CH753-4,12.05,4.11,1.5,1.44,71.17
YC16:4119,CH157,10.74,3.62,1.36,1.37,71.5
YC16:4120,CH9,13.08,4.6,1.87,1.6,70.57
YC16:4124,A572,14.36,4.94,2.12,1.71,69.74
YC16:4126,A641,12.35,4.76,1.4,1.52,71.22
YC16:4131,MS200,13.84,4.58,1.75,1.62,70.84
YC16:4137,2FADB,9.67,3.99,1.45,1.31,72.4
YC16:4145,R113,16.09,4.32,2.08,1.74,69.51
YC16:4152,CI 40H,10.08,3.5,1.75,1.44,71.36
YC16:4154,W9,12.36,4.03,1.59,1.52,69.9
YC16:4157,DKFAPW,13.06,4.26,1.62,1.51,71.76
YC16:4159,LH119,9,4.09,1.64,1.36,71.02
YC16:4163,LH132,9.71,4.62,1.33,1.31,71.44
YC16:4173,Oh43,11.68,4,1.43,1.48,71.7
YC16:4176,PHG71,12.94,4.81,1.76,1.53,70.73
YC16:4177,A374,14.48,5.12,1.53,1.59,70
YC16:4179,A73,10.44,4.43,1.55,1.41,70.16
YC16:4180,ND265,12.42,3.78,1.3,1.44,71.87
YC16:4196,N192,10.97,4.57,1.48,1.41,70.8
YC16:4199,LP5,7.52,4.12,1.57,1.26,70.72
YC16:4202,SD40,9.37,4.49,1.75,1.37,70.75
YC16:4203,NK778,8.97,4.1,1.31,1.32,71.65
YC16:4208,DKPB80,8.12,3.44,1.45,1.27,71.67
YC16:4212,LH295,9.27,3.62,1.37,1.3,71.9
YC16:4221,A663,11.41,4.12,1.74,1.44,70.41
YC16:4224,CR1HT,12.28,4.29,1.25,1.46,70.91
YC16:4230,Pa392,12.27,5.45,1.76,1.56,69.17
YC16:4231,C123,11.36,4.59,1.44,1.41,71.32
YC16:4241,A334,12.67,5.57,2,1.6,68.9
YC16:4249,Va99,10.73,4.79,1.43,1.41,69.52
YC16:4254,PHG80,8.23,2.85,1.47,1.25,71.24
YC16:4255,6F629,10.42,4.49,1.46,1.37,69.57
YC16:4260,PHW80,8.75,4.01,1.54,1.3,70.48
YC16:4267,Pa762,10.43,4.42,1.44,1.37,70.46
YC16:4268,B121,13.57,4.93,1.66,1.59,69.57
YC16:4275,Os426,13.44,3.67,1.61,1.55,71.04
YC16:4286,LH128,8.79,4.68,1.76,1.41,69.59
YC16:4294,H84,12.67,4.57,1.85,1.5,70.45
YC16:4295,KUNG-70,8.96,4.09,1.41,1.3,71.64
YC16:4296,NKS8326,9.7,4.39,1.56,1.36,70.79
YC16:4309,Pa875,10.73,5.15,1.53,1.37,70.42
YC16:4313,B37,12.82,4.52,1.88,1.59,70.5
YC16:4316,FR19,11.31,3.84,1.65,1.42,70.59
YC16:4328,N217,12.4,4.04,1.67,1.46,71.07
YC16:4331,LH197,7.18,4.14,1.58,1.24,70.71
YC16:4334,W32,13.67,5.16,1.83,1.61,68.54
YC16:4354,LH192,10.21,4.56,1.45,1.36,70.74
YC16:4361,W37A,12.69,5.16,1.61,1.52,71.53
YC16:4363,B108,11.48,4.16,1.51,1.45,71.15
YC16:4367,A321,15.11,4.51,1.42,1.59,71.08
YC16:4382,Pa778,12.55,4.78,1.76,1.52,70.4
YC16:4387,W810G,12.85,4.31,1.57,1.55,70.91
YC16:4392,B120,9.86,4.48,2.03,1.45,68.75
YC16:4428,CO258,11.48,4.77,1.42,1.43,71.23
YC16:4435,87916W,7.69,4.8,1.18,1.2,72.32
YC16:4445,R78,11.98,6.19,1.63,1.57,68.75
YC16:4451,PHP85,9.78,4,1.32,1.29,71.08
YC16:4452,A,12.67,4.17,1.69,1.51,69.71
YC16:4461,LH59,9.18,4.18,1.34,1.33,72.05
YC16:4465,N211,12.06,3.92,1.77,1.44,71.74
YC16:4467,CG102,11.43,4.69,1.43,1.44,71.16
YC16:4479,H95,12.06,3.93,1.39,1.47,71.72
YC16:4483,MS221,12.95,3.72,1.62,1.52,70.4
YC16:4486,DK78371A,10.77,3.78,1.34,1.4,70.57
YC16:4502,B109,8.1,4.53,1.55,1.27,71.4
YC16:4503,W607S,9.67,3.63,1.35,1.3,71.35
YC16:4518,Va26,10.04,4.06,1.4,1.36,71.99
